,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total
2011-09-01,41.39050365891004,177.4345232812299,218.61949844871867,268.9661127074573,285.77678359618494,309.23978277526993,211.02926647864513,112.51753418099078,1624.9740051274066,22.574509541261204,99.66918568670259,118.81124862154097,105.33890492125552,100.1790031522167,124.0332379484178,112.81661878764358,103.27251372058392,786.6952223796222,63.96501320017124,277.1037089679325,337.43074707025966,374.3050176287128,385.95578674840164,433.27302072368775,323.8458852662887,215.7900479015747,2411.669227507029
2011-10-01,27.767081345021502,182.68105229468537,261.7928218840172,292.6729349780788,273.5031146097883,276.7129029322239,166.95228337911485,126.18989185041771,1608.2720832733476,17.362379897770545,77.27405718435155,73.01006900370547,99.60407233556748,112.1744422460928,134.86497081528378,106.16428129813202,106.86053987137134,727.3148126522749,45.12946124279205,259.95510947903693,334.8028908877227,392.27700731364627,385.6775568558811,411.57787374750774,273.11656467724686,233.05043172178904,2335.5868959256222
2011-11-01,40.04823546406962,164.48424666647531,221.18688760282083,273.24666375239707,242.63487190595694,276.30053175861343,183.3738311653249,106.5381389981516,1507.8134073138099,18.36,80.30314585319351,75.99691595990748,101.56990881458967,82.98507462686567,129.51070336391436,99.91046931407942,90.46027633851467,679.0964942710648,58.40823546406962,244.78739251966883,297.1838035627283,374.81657256698674,325.6199465328226,405.8112351225278,283.28430047940435,196.99841533666626,2186.9099015848747
2011-12-01,27.79646769611243,164.9040711588862,216.44637982911058,266.54019574056906,256.9437940005513,245.28753671625728,123.2576166137721,74.97244851766001,1376.148510272919,8.171369076566489,85.63678493063264,98.72795691402386,82.83713835124831,103.87586896791244,113.09067986685973,100.0496714924404,81.42589829590196,673.8153678955857,35.96783677267892,250.54085608951885,315.17433674313446,349.3773340918174,360.8196629684637,358.378216583117,223.3072881062125,156.39834681356197,2049.963878168505
2012-01-01,20.78472760037996,181.3344341263563,251.01114911670183,318.05539787227985,292.9803460937632,288.8250857549544,150.24436203888573,82.66266695050729,1585.8981695538287,14.790960451977401,61.93494897959184,86.06870229007633,92.55811889973381,102.01287553648069,121.26119917298415,111.18523985239852,80.24137931034483,670.0534244935875,35.575688052357364,243.26938310594815,337.0798514067782,410.61351677201367,394.9932216302439,410.08628492793855,261.4296018912843,162.9040462608521,2255.951594047416
2012-02-01,31.248331810028517,176.3716046350173,227.5200906982432,293.32386449192734,285.95112904182804,275.39027996730886,133.62004880268313,68.35253134701945,1491.777880794056,17.96045197740113,57.735969387755105,74.52290076335878,81.9192546583851,102.01287553648069,130.7512060647829,100.79409594095941,83.32758620689656,649.0243405360196,49.20878378742965,234.10757402277238,302.04299146160196,375.24311915031245,387.96400457830873,406.14148603209173,234.41414474364254,151.680117553916,2140.8022213300756
2012-03-01,29.10226066634308,245.74427703044222,269.5978861391274,330.2446758320628,334.71981222047725,292.1068673863857,190.47443684415393,116.77563104783398,1808.765847166826,11.650356469618021,90.50246584991795,91.54378050151442,115.18534064589048,113.03133886375697,128.96208248767644,113.54500820154145,84.56600676748987,748.9863797874056,40.7526171359611,336.24674288036016,361.1416666406418,445.43001647795325,447.7511510842342,421.0689498740621,304.01944504569536,201.34163781532385,2557.7522269542314
2012-04-01,31.24599666409511,208.6191120522742,262.5035635695699,286.6611460428421,305.72489754876244,293.79995596096063,199.3546980036164,106.66340326913664,1694.5727731112574,15.875509392261787,70.4574052446302,90.42695852754412,101.24811405245971,103.26917021175665,113.02535143664406,130.1192174195366,76.26118905393128,700.6829153387644,47.12150605635689,279.0765172969044,352.930522097114,387.9092600953018,408.9940677605191,406.82530739760466,329.473915423153,182.9245923230679,2395.255688450022
2012-05-01,43.59400397421688,184.32538567154194,220.1809153742586,319.8684518186633,279.4670009251255,316.55880480708026,215.577352767658,129.0008483763367,1708.5727637148811,22.256032324120657,83.1899708877939,100.02651002044414,108.856795951137,108.79598453159421,129.0458247353983,135.50858813934508,104.22820655795363,791.9079131477869,65.85003629833754,267.5153565593358,320.20742539470274,428.72524776980026,388.2629854567197,445.60462954247856,351.0859409070031,233.22905493429033,2500.480676862668
2012-06-01,36.49665718482155,172.25992818798304,231.0565761515775,279.2425054854801,266.4485092302899,310.4276413694265,207.02135811775585,129.59854963155527,1632.5517253588896,9.517097467224389,68.2952967813056,80.8939039694664,89.44750283042752,109.62894217063828,127.70357524938582,109.20595626380509,88.55149575078043,683.2437704830336,46.01375465204594,240.55522496928864,311.9504801210439,368.6900083159076,376.0774514009282,438.13121661881235,316.227314381561,218.1500453823357,2315.795495841923
2012-07-01,39.700068625652854,189.84517507094063,201.87210810863533,274.2209022977292,295.6346536579189,297.9665632525914,206.3501975183618,109.06917906583755,1614.6588475976673,19.103602077808265,62.21716272808671,109.65770688279405,117.56075600555305,122.97325078358566,147.23573771076897,138.83194837264935,101.27547212124205,818.855636682488,58.80367070346112,252.06233779902735,311.52981499142936,391.78165830328226,418.6079044415045,445.20230096336036,345.18214589101115,210.3446511870796,2433.5144842801556
2012-08-01,39.6051317384762,174.32598004690993,215.6179567204499,272.4575920711277,278.4205401273384,261.45335331398974,184.63439684313207,130.57002735915785,1557.0849782205817,12.677966101694915,66.13392857142857,94.46564885496183,98.94143744454304,97.71759656652361,134.96898690558237,112.22435424354244,87.44252873563218,704.5724474239089,52.283097840171116,240.4599086183385,310.08360557541175,371.39902951567075,376.13813669386207,396.4223402195721,296.8587510866745,218.01255609479003,2261.6574256444906
2012-09-01,36.63922158099414,181.57945613391755,187.98584060618765,258.0846174691739,274.1212854034141,294.2058244121889,230.21172719115683,125.94143825283767,1588.769411049871,13.757034728608017,71.49996453371837,95.67223859870529,99.10403949447422,98.95377181164496,132.02226293581336,144.67427044055606,98.92092229540569,754.604504838926,50.39625630960216,253.07942066763593,283.65807920489294,357.1886569636481,373.0750572150591,426.2280873480023,374.8859976317129,224.86236054824337,2343.373915888797
2012-10-01,33.244707853717,163.0404501589846,226.927282233556,299.1835938953338,312.62973853111464,307.1144074600396,204.13870229311485,140.4806588107037,1686.7595412365642,23.26216948277697,65.1380355112047,100.8467322150024,94.76423657758335,95.64903340286683,141.41256876513026,120.637004102469,107.07702998336708,748.7868100404007,56.50687733649397,228.17848567018933,327.77401444855843,393.94783047291713,408.2787719339815,448.52697622516985,324.7757063955838,247.55768879407077,2435.5463512769647
2012-11-01,31.127205358220746,155.33385257879354,208.11485360057085,252.49355665427188,266.2183789720765,266.76272036822445,204.9349849646494,111.41603937218062,1496.401591868988,14.790960451977401,60.88520408163265,82.91984732824427,102.13309671694765,99.86523605150215,112.82563749138525,101.83321033210332,88.47126436781609,663.7244568216088,45.91816581019815,216.2190566604262,291.03470092881514,354.6266533712195,366.08361502357866,379.5883578596097,306.7681952967527,199.8873037399967,2160.1260486905967
2012-12-01,30.314361601230818,160.81106663567567,198.69175148210505,258.82265700436284,250.54697920217734,267.66700781569693,143.6745003399255,96.65814624541427,1407.1864703265883,11.64362826360575,66.26003001549334,94.64577205333285,99.13009489177341,98.97978770213699,113.04076875793062,91.61642437690536,75.24089434489166,650.55740040607,41.95798986483657,227.071096651169,293.33752353543787,357.95275189613625,349.52676690431434,380.70777657362754,235.29092471683083,171.89904059030593,2057.7438707326583
