date,gender_group,age_group,value
2020-05-01,male,30_39,166.61049587660708
2020-06-01,male,30_39,138.04281780144495
2020-07-01,male,30_39,134.72996130064925
2020-08-01,male,30_39,162.206152539258
2020-09-01,male,30_39,158.40566522426232
2020-10-01,male,30_39,196.50402004493262
2020-11-01,male,30_39,173.50117404859535
2020-12-01,male,30_39,142.25316212172174
2021-01-01,male,30_39,134.12488350419386
2021-02-01,male,30_39,145.42233009708738
2021-03-01,male,30_39,152.76
2021-04-01,male,30_39,166.74506283662478
2021-05-01,male,30_39,143.64882032667876
2021-06-01,male,30_39,149.2706630336058
2009-01-01,male,40_49,328.5977983549104
2009-02-01,male,40_49,281.2075058383597
2009-03-01,male,40_49,398.68528329326796
2009-04-01,male,40_49,401.11969676273344
2009-05-01,male,40_49,355.0710334363042
2009-06-01,male,40_49,327.86954655343203
2009-07-01,male,40_49,351.69702564543604
2009-08-01,male,40_49,290.73884822300073
2009-09-01,male,40_49,313.24100772131914
2009-10-01,male,40_49,332.6263894890797
2009-11-01,male,40_49,332.81985312515644
2009-12-01,male,40_49,342.0939032397851
2010-01-01,male,40_49,366.6175741694497
2010-02-01,male,40_49,299.63452801946875
2010-03-01,male,40_49,395.1335322842349
2010-04-01,male,40_49,316.61636517204136
2010-05-01,male,40_49,358.09975370402447
2010-06-01,male,40_49,334.76438345998724
2010-07-01,male,40_49,355.7593027433094
2010-08-01,male,40_49,275.71027301236984
2010-09-01,male,40_49,290.06029753815415
2010-10-01,male,40_49,290.8142919954327
2010-11-01,male,40_49,322.75630201340823
2010-12-01,male,40_49,278.01340583791836
2011-01-01,male,40_49,294.919965199365
2011-02-01,male,40_49,273.6921630901595
2011-03-01,male,40_49,324.06341899740124
2011-04-01,male,40_49,337.3977886439136
2011-05-01,male,40_49,405.5453074997961
2011-06-01,male,40_49,337.1130378342977
2011-07-01,male,40_49,287.99675202091527
2011-08-01,male,40_49,342.0033076192261
2011-09-01,male,40_49,268.66762228924324
2011-10-01,male,40_49,292.83152386720303
2011-11-01,male,40_49,273.503969070565
2011-12-01,male,40_49,266.6099896998429
2012-01-01,male,40_49,318.2426477009446
2012-02-01,male,40_49,293.3306447782317
2012-03-01,male,40_49,330.4266874135485
2012-04-01,male,40_49,286.6696718932536
2012-05-01,male,40_49,320.1518404028095
2012-06-01,male,40_49,279.16642935517666
2012-07-01,male,40_49,274.01754989080416
2012-08-01,male,40_49,272.4175316567936
2012-09-01,male,40_49,257.7615952472186
2012-10-01,male,40_49,299.38070439378043
2012-11-01,male,40_49,252.7403443428542
2012-12-01,male,40_49,258.59695643775893
2013-01-01,male,40_49,338.89467596197665
2013-02-01,male,40_49,288.68423556604733
2013-03-01,male,40_49,300.4492229314462
2013-04-01,male,40_49,283.01004258165784
2013-05-01,male,40_49,301.5140124664198
2013-06-01,male,40_49,234.92844230628222
